الحاشية القديمة (١-٨٠٠)	المقال	الرقم المحلي في الفصل	الرقم العام الجديد	الدرجة
632	099	3	512	حسن مشهور عند أهل المغازي
633	099	3	512	حسن مشهور عند أهل المغازي
634	100	1	513	حسن مشهور عند أهل المغازي
635	100	2	514	حسن مشهور عند أهل المغازي
636	100	2	514	حسن مشهور عند أهل المغازي
637	100	3	515	حسن
638	101	1	516	متفق عليه
639	101	2	517	حسن عند أهل المغازي
640	101	3	518	صحيح
641	101	4	519	متفق عليه
642	101	5	520	متفق عليه في أصله؛ والتفصيل عند أهل السير
643	102	1	521	حسن مشهور عند أهل المغازي
644	102	2	522	صحيح في أصله
645	102	3	523	حسن
646	102	1	521	حسن مشهور عند أهل المغازي
647	102	4	524	متفق عليه
648	102	1	521	حسن مشهور عند أهل المغازي
649	102	5	525	حسن مشهور عند أهل المغازي
650	102	6	526	قرآن كريم — قطعي
651	103	1	527	حسن عند أهل المغازي
652	103	2	528	صحيح
653	103	3	529	متفق عليه
654	103	4	530	حسن
655	103	5	531	صحيح
656	103	6	532	متفق عليه
657	103	7	533	صحيح في أصله
658	104	1	534	قرآن كريم — قطعي
659	104	2	535	صحيح؛ والآية قطعية
660	104	3	536	قرآن كريم — قطعي
661	104	4	537	متفق عليه
662	104	3	536	قرآن كريم — قطعي
663	104	5	538	صحيح
664	104	6	539	متفق عليه
665	104	7	540	متفق عليه في أصله؛ والتفصيل عند أهل السير
666	104	8	541	صحيح
667	104	9	542	متفق عليه
668	105	1	543	حسن عند أهل المغازي
669	105	2	544	صحيح
670	105	3	545	حسن عند أهل المغازي
671	105	1	543	حسن عند أهل المغازي
672	105	4	546	متفق عليه
673	105	5	547	مرسل — تتلقاه كتب السير والمغازي بالقبول
674	105	6	548	متفق عليه
675	106	1	549	صحيح
676	106	2	550	أصله صحيح؛ والتفصيل عند أهل السير
677	106	3	551	متفق عليه
678	106	4	552	صحيح
679	106	5	553	صحيح
680	106	5	553	صحيح
681	106	6	554	صحيح
682	107	1	555	متفق عليه
683	107	2	556	متفق عليه
684	107	3	557	متفق عليه
685	107	4	558	متفق عليه
686	107	5	559	حسن عند أهل المغازي
687	107	6	560	متفق عليه في أصله؛ والتفصيل عند أهل السير
688	107	7	561	حسن
689	107	8	562	حسن
690	108	1	563	متفق عليه
691	108	2	564	متفق عليه
692	108	2	564	متفق عليه
693	108	2	564	متفق عليه
694	108	2	564	متفق عليه
695	108	3	565	قرآن كريم — قطعي
696	108	4	566	متفق عليه في أصله؛ والتفصيل عند أهل السير
697	109	1	567	أصله صحيح؛ والتفصيل عند أهل السير
698	109	2	568	صحيح
699	110	1	569	متفق عليه
700	110	2	570	قرآن كريم — قطعي
701	110	3	571	صحيح
702	111	1	572	متفق عليه
703	112	1	573	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
704	112	2	574	متفق عليه
705	112	3	575	صحيح
706	112	4	576	صحيح
707	112	5	577	صحيح
708	112	6	578	صحيح
709	112	5	577	صحيح
710	113	1	579	صحيح
711	113	2	580	صحيح
712	113	2	580	صحيح
713	113	2	580	صحيح
714	114	1	581	صحيح
715	114	2	582	حسن عند أهل المغازي
716	114	2	582	حسن عند أهل المغازي
717	114	2	582	حسن عند أهل المغازي
718	114	3	583	حسن عند أهل المغازي
719	114	4	584	حسن عند أهل المغازي
720	115	1	585	متفق عليه في أصله؛ والتفصيل عند أهل السير
721	115	2	586	صحيح
722	115	3	587	صحيح
723	115	4	588	أصله صحيح؛ والتفصيل عند أهل السير
724	115	5	589	صحيح
725	115	6	590	متفق عليه
726	115	7	591	صحيح
727	115	8	592	صحيح
728	116	1	593	متفق عليه
729	116	2	594	صحيح
730	116	3	595	أصله صحيح؛ والتفصيل عند أهل السير
731	117	1	596	صحيح
732	117	2	597	حسن
733	117	3	598	متفق عليه
734	118	1	599	صحيح
735	118	2	600	متفق عليه
736	118	3	601	صحيح
737	118	4	602	متفق عليه في أصله؛ والتفصيل عند أهل السير
738	118	5	603	صحيح
739	118	6	604	قرآن كريم — قطعي
740	119	1	605	صحيح
741	120	1	606	صحيح
742	120	2	607	حسن عند أهل المغازي
743	120	3	608	قرآن كريم — قطعي
744	121	1	609	صحيح
745	121	2	610	صحيح؛ والآية قطعية
746	121	3	611	صحيح؛ والآية قطعية
747	122	1	612	صحيح
748	122	2	613	متفق عليه
749	122	3	614	حسن
750	122	4	615	صحيح
751	122	5	616	مرسل — تتلقاه كتب السير والمغازي بالقبول
752	123	1	617	متفق عليه
753	123	2	618	متفق عليه
754	123	3	619	متفق عليه في أصله؛ والتفصيل عند أهل السير
755	124	1	620	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
756	124	2	621	قرآن كريم — قطعي
757	124	3	622	متفق عليه
758	124	4	623	متفق عليه
759	124	5	624	متفق عليه
760	125	1	625	متفق عليه
761	125	2	626	صحيح
762	125	3	627	متفق عليه
763	126	1	628	صحيح
764	126	2	629	صحيح
765	126	3	630	حسن عند أهل المغازي
766	126	4	631	متفق عليه
767	127	1	632	متفق عليه
768	127	2	633	صحيح
769	127	3	634	متفق عليه
770	128	1	635	متفق عليه
771	128	2	636	حسن
772	128	3	637	متفق عليه في أصله؛ والتفصيل عند أهل السير
773	128	4	638	حسن — انظر تخريجه في مظانّه
774	129	1	639	متفق عليه
775	129	2	640	صحيح في أصله
776	129	3	641	صحيح
777	130	1	642	حسن عند أهل المغازي
778	130	2	643	حسن عند أهل المغازي
779	130	3	644	أصله صحيح؛ والتفصيل عند أهل السير
780	130	4	645	متفق عليه
781	130	5	646	مرسل — تتلقاه كتب السير والمغازي بالقبول
782	130	6	647	حسن
783	131	1	648	حسن عند أهل المغازي
784	131	2	649	حسن عند أهل المغازي
785	131	3	650	حسن
786	131	4	651	حسن عند أهل المغازي
787	131	5	652	صحيح
788	132	1	653	حسن عند أهل المغازي
789	132	2	654	صحيح
790	132	3	655	صحيح
791	132	4	656	الآية قطعية؛ وسياق النزول عند أهل التفسير والسير
792	133	1	657	صحيح
793	133	2	658	صحيح
794	133	3	659	حسن عند أهل المغازي
795	133	4	660	صحيح
796	133	5	661	صحيح
797	133	6	662	حسن
798	133	7	663	حسن
799	133	8	664	حسن
800	043	4	246	حسن
800	043	4	246	حسن
800	043	4	246	حسن
800	043	4	246	حسن
800	043	4	246	حسن
800	043	4	246	حسن
800	043	4	246	حسن
800	043	4	246	حسن
800	043	4	246	حسن
800	043	4	246	حسن
